LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0000020451-0009-2,L & R AUTO PARKS INC,,404 S FIGUEROA STREET,LOS ANGELES,90071-1710,404 FIGUEROA 90071-1710,,,,,,9,02/01/2010,10/01/2010,
0000014409-0002-6,AKOP GURDZHYAN,,1802 HILLHURST AVENUE,LOS ANGELES,90027-4408,1802 HILLHURST 90027-4408,,,,,,4,01/03/2011,12/01/2011,
0000014417-0001-2,DEGENDORFER PLUMBING INC,,407 S FAIRFAX AVENUE,LOS ANGELES,90036-3133,407 FAIRFAX 90036-3133,,,,,,5,01/01/1975,06/30/2006,
0000014427-0001-6,INFINITY ACCEPTANCE CORPORATION,,21731 VENTURA BLVD #340,WOODLAND HILLS,91364-1845,21731 VENTURA 91364-1845,,,,,,3,01/01/1995,11/30/2000,
0000014465-0001-1,SHAMOUIEL BENJAMIN/SAM KERMANIAN/CAMIAR RABBAN,,1259 S LOS ANGELES STREET #A,LOS ANGELES,90015-,1259 LOS ANGELES 90015,,,,,,0,06/01/1992,12/31/1996,
0000014486-0001-3,ANNE STEWART,,3530 WILSHIRE BLVD #1700,LOS ANGELES,90010-,3530 WILSHIRE 90010,,,,,,10,09/01/1990,12/31/1999,
0000014508-0001-1,EST OF EDUVIGES D ARROYO,,418 EUCLID AVENUE,LOS ANGELES,90063-,418 EUCLID 90063,,,,,,14,02/28/1985,03/26/2003,
0000014518-0001-5,KAREN V DOULAC,,8017 SELMA AVENUE,LOS ANGELES,90046-,8017 SELMA 90046,,,,,,0,03/01/1992,12/31/1998,
0000014535-0001-9,BENENSON DANSON,,6922 HOLLYWOOD BLVD #402,LOS ANGELES,90028-6117,6922 HOLLYWOOD 90028-6117,,,,,,13,,08/15/2014,
0000014559-0001-4,IRIS S CAPLAN,,8819 SNOWDEN AVENUE,ARLETA,91331-,8819 SNOWDEN 91331,,,,,,0,01/01/1975,12/31/2000,
0000014571-0001-5,JUNE AMORIN LOPEZ,,162 E COMPTON BLVD #162,COMPTON,90220-2411,162 COMPTON 90220,,,,,,0,08/01/1991,12/31/2004,
0000014659-0001-2,ANNE E HONG,,133 S HIGHLAND AVENUE,LOS ANGELES,90036-3028,133 HIGHLAND 90036-3028,,,,,,5,08/17/1992,12/31/2008,
0000014667-0001-7,HENRY EDWARD HILL,,7223 WILLOUGHBY AVENUE #105,LOS ANGELES,90046-,7223 WILLOUGHBY 90046,,,,,,0,07/13/1992,12/31/1996,
0000014671-0001-3,ARNOLD W MEDNICK,,6535 WILSHIRE BLVD,LOS ANGELES,90048-,6535 WILSHIRE 90048,,,,,,0,01/01/1991,12/30/1998,
0000014688-0001-9,MARILYN E SHEPHERD,,3969 W 6TH STREET,LOS ANGELES,90020-,3969 6TH 90020,,,,,,0,01/01/1988,12/31/1994,
0000014713-0002-7,ORTCO INC,,2163 N GLASSELL STREET,ORANGE,92865-3307,2163 GLASSELL 92865-3307,,,,,,0,08/30/2012,01/01/2019,
0000014781-0001-5,J D APPAREL INC,,728 S HILL STREET #4FL,LOS ANGELES,90014-2706,728 HILL 90014-2706,,,,,,14,06/01/2000,12/31/2007,
0000014782-0002-8,IRA S CHESTER,,3206 CASTLE HEIGHTS AVENUE,LOS ANGELES,90034-2709,3206 CASTLE HEIGHTS 90034-2709,,,,,,5,01/01/2008,12/31/2013,
0000014834-0001-9,JONG JIN PARK,,700 S HILL STREET #6,LOS ANGELES,90014-,700 HILL 90014,,,,,,14,06/19/2000,12/31/2000,
0000014858-0001-4,CITY WEST PROPERTIES LLC,,130 S BEAUDRY AVENUE,LOS ANGELES,90012-2014,130 BEAUDRY 90012-2014,,,,,,1,05/12/1998,12/31/2011,
0000014891-0001-7,TELE-TRIP INC,,380 WORLD WAY,LOS ANGELES,90045-,380 WORLD 90045,,,,,,11,08/01/1992,12/31/1999,
0000014906-0001-5,OSKAR J'S SIGHTSEEING TOURS INC,,4334 WOODMAN AVENUE,SHERMAN OAKS,91423-,4334 WOODMAN 91423,,,,,,0,02/20/1992,12/31/1996,
0000014955-0001-9,OLYMPIC PARTNERS LLC,,11340 W OLYMPIC BLVD #110,LOS ANGELES,90064-,11340 OLYMPIC 90064,,,,,,11,01/01/2001,12/31/2002,
0000014983-0001-1,ICS INC,,4256 BURNS AVENUE,LOS ANGELES,90029-,4256 BURNS 90029,,,,,,13,01/01/1992,12/31/1998,
0000015006-0001-9,MIKE ROCHA,,772 N AVENUE 50,LOS ANGELES,90042-3280,772 AVENUE 50 90042-3280,,,,,,14,04/20/2003,12/31/2007,
0000015014-0001-3,MARKUS KAEPPELI,,6715 HOLLYWOOD BLVD #200,LOS ANGELES,90028-,6715 HOLLYWOOD 90028,,,,,,13,08/01/2000,07/01/2001,
0000015057-0001-1,JACK FLEMING,,2775 W BROADWAY,LOS ANGELES,90041-1038,2775 BROADWAY 90041-1038,,,,,,14,05/01/2004,12/31/2008,
0000015084-0001-9,CHIHIRO DOTE,,2500 VIA CABRILLO MARINA #102,SAN PEDRO,90731-,2500 VIA CABRILLO MARINA 90731,,,,,,15,06/01/1989,12/30/1993,
0000015101-0001-4,MELVYN HONIG,,4712 ADMIRALTY WAY SUITE #1014,MARINA DEL REY,90292-6905,4712 ADMIRALTY 90292-6905,,,,,,0,08/01/2000,07/01/2010,
0000015152-0001-7,HELDER RODRIGUEZ,,3425 E 1ST STREET #LL,LOS ANGELES,90063-,3425 1ST 90063,,,,,,14,01/01/1992,12/31/1996,
0000015206-0001-5,ELLEN B FRANKLIN,,7230 MEDICAL CENTER DRIVE,WEST HILLS,91307-1907,7230 MEDICAL CENTER 91307-1907,,,,,,3,01/18/2003,12/31/2003,
0000015327-0001-5,LUIS NUILA,,11120 BURBANK BLVD #E,N HOLLYWOOD,91601-,11120 BURBANK 91601,,,,,,0,05/15/1992,12/31/1992,
0000015472-0001-9,TRITIO TO,,329 E 4TH STREET,LOS ANGELES,90013-1501,329 4TH 90013-1501,,,,,,9,02/01/2003,12/23/2013,
0000015487-0001-5,DKIMS LLC,,1011 ARLINGTON AVENUE,LOS ANGELES,90019-3513,1011 ARLINGTON 90019-3513,,,,,,10,01/15/2003,01/24/2012,
0000015509-0001-3,GEVORG G DERMENDZHYAN,,5334 LOMA LINDA AVENUE #6,LOS ANGELES,90027-,5334 LOMA LINDA 90027,,,,,,0,05/26/1992,11/01/2004,
0000015545-0001-0,THEODORE S DIMOS,,23023 DOLOROSA STREET,WOODLAND HLS,91367-,23023 DOLOROSA 91367,,,,,,0,05/08/1992,09/29/1996,
0000015584-0001-0,YON WOO CHONG,,1262 CRENSHAW BLVD #6,LOS ANGELES,90019-3109,1262 CRENSHAW 90019-3109,,,,,,10,01/16/2003,01/01/2007,
0000015599-0001-6,CELLCRETE CORP,,135 RAILROAD AVENUE,MONROVIA,91016-,135 RAILROAD 91016,,,,,,0,09/05/2000,11/01/2004,
0000015621-0001-2,LAURA D JONES,,7746 OSTROM AVENUE,VAN NUYS,91406-,7746 OSTROM 91406,,,,,,0,05/18/1992,12/31/1996,
0000015676-0001-3,DAVID SANCHEZ,,13047 TERRA BELLA STREET,PACOIMA,91331-,13047 TERRA BELLA 91331,,,,,,0,06/01/1992,12/31/1996,
0000015679-0001-7,ANTHONY J/LINDA S LATTANZIO,,23130 HATTERAS STREET,WOODLAND HILLS,91367-4237,23130 HATTERAS 91367-4237,,,,,,3,05/12/1992,12/31/2002,
0000015742-0001-2,ORVIS/DOUGLAS & RAYE ACC,,80 S LAKE AVENUE #722,PASADENA,91101-,80 LAKE 91101,,,,,,0,09/01/1948,06/30/2001,
0000015748-0001-0,MICHAEL D TINDELL,,7539 RESEDA BLVD,RESEDA,91335-,7539 RESEDA 91335,,,,,,0,02/01/1975,12/31/1995,
0000015794-0001-0,"MISSION GATE ENTERPRISES, INC",,1416 E BURNETT STREET SUITE #F,SIGNAL HILL,90755-3560,1416 BURNETT 90755-3560,,,,,,0,10/27/1997,01/31/2010,
0000015833-0001-1,IN HWAN KIM,,13801 CHASE STREET,ARLETA,91331-,13801 CHASE 91331,,,,,,0,06/10/1992,12/31/1998,
0000015945-0001-2,PACIFIC STAR ENTERPRISES INC,,21511 DEVONSHIRE STREET,CHATSWORTH,91311-,21511 DEVONSHIRE 91311,,,,,,12,06/01/1992,12/31/1999,
0000016098-0001-8,LEAMON/OPAL TURNAGE,,4157 W 142ND STREET,HAWTHORNE,90250-7205,4157 142ND 90250,,,,,,0,05/01/1971,12/12/2005,
0000016106-0001-4,LIVERA CORP,,1714 WALL STREET,LOS ANGELES,90015-3719,1714 WALL 90015-3719,,,,,,9,01/01/2003,12/31/2004,
0000016139-0001-9,MARILU LE ROY,,960 EASY STREET,LOS ANGELES,90042-1520,960 EASY 90042-1520,,,,,,14,07/01/2003,12/31/2020,
0000016155-0001-8,ROGE E GRANT,,3700 S NORTON AVENUE,LOS ANGELES,90018-,3700 NORTON 90018,,,,,,10,01/13/2000,12/31/2000,
0000016267-0001-9,SHAHAB AMID,,819 SANTEE STREET SUITE #622,LOS ANGELES,90014-2222,819 SANTEE 90014-2222,,,,,,0,10/01/1992,06/30/2013,
0000016363-0001-9,INTERNATIONAL DATA CORP,,18831 VON KARMAN AVENUE #200,IRVINE,92612-,18831 VON KARMAN 92612,,,,,,0,01/26/2000,08/24/2002,
0000016523-0001-1,JIN SONG KIM,,1600 W SLAUSON AVENUE #R25,LOS ANGELES,90047-,1600 SLAUSON 90047,,,,,,0,10/01/1993,11/18/1996,
0000016554-0001-6,RIGOBERTO RODAS,,4429 1/2 S VERMONT AVENUE,LOS ANGELES,90037-,4429 VERMONT 90037,,,,,,0,03/25/1993,06/30/1995,
0000016559-0001-9,HARD STYLE INC,,615 E 61ST STREET,LOS ANGELES,90001-,615 61ST 90001,,,,,,0,03/01/1993,12/31/1996,
0000016571-0001-0,JOSE MONTES MICHEL,,733 S ALVARADO STREET #C,LOS ANGELES,90057-4092,733 ALVARADO 90057-4092,,,,,,1,02/01/2000,03/10/2010,
0000016609-0001-9,BURGESS/BRADSTREET/ASSOCIATES INC,,6308 IMBLER COURT,AGOURA HILLS,91301-4113,6308 IMBLER 91301-4113,,,,,,0,03/01/1984,01/01/2007,
0000016661-0001-4,ERIC AHLSTROM,,10443 JELLICO AVENUE,GRANADA HILLS,91344-,10443 JELLICO 91344,,,,,,12,02/01/2000,05/30/2001,
0000016749-0001-1,WILLIAM A RAMIREZ,,1606 N WILMINGTON BLVD #B,WILMINGTON,90744-,1606 WILMINGTON 90744,,,,,,0,09/16/1992,12/31/1997,
0000016754-0007-1,MODERN PARKING INC,,1221 W 3RD STREET,LOS ANGELES,90017-5181,1221 3RD 90017-5181,,,,,,1,10/10/2006,12/31/2012,
0000016754-0013-6,MODERN PARKING INC,,717 S OLIVE STREET,LOS ANGELES,90014-2601,717 OLIVE 90014-2601,,,,,,14,07/01/2006,01/11/2013,
0000016754-0157-4,MODERN PARKING INC,,6200 WILSHIRE BLVD,LOS ANGELES,90048-5801,6200 WILSHIRE 90048-5801,,,,,,5,05/01/2014,05/31/2017,
0000016754-0183-3,MODERN PARKING INC,,5825 W SUNSET BLVD,LOS ANGELES,90028-6657,5825 SUNSET 90028-6657,,,,,,13,05/01/2014,03/31/2017,
0000016808-0001-1,WILLIAM A COX,,5744 BRYNHURST AVENUE,LOS ANGELES,90043-2420,5744 BRYNHURST 90043-2420,,,,,,8,01/05/1993,12/24/2019,
0000016849-0001-0,RICHARD FREEZE,,8340 STEWART AVENUE,LOS ANGELES,90045-,8340 STEWART 90045,,,,,,11,02/02/1993,12/31/1997,
0000016957-0001-2,GLYNIS MAZUR FITZGERALD,,455 VIA MAXWELL,NIPOMO,93444-9698,455 VIA MAXWELL 93444,,,,,,0,06/19/1992,12/31/2006,
0000016993-0001-9,PAULINE SAMMS,,5562 PACKARD STREET,LOS ANGELES,90019-,5562 PACKARD 90019,,,,,,10,06/20/2000,01/24/2001,
0000017076-0001-9,LANCE RETTIG,,21904 VENTURA BLVD,WOODLAND HILLS,91364-1724,21904 VENTURA 91364-1724,,,,,,3,07/01/1992,06/15/1998,
0000017092-0001-8,"STAPLES THE OFFICE SUPERSTORE,INC",,17150 VENTURA BLVD,ENCINO,91316-4003,17150 VENTURA 91316-4003,,,,,,4,06/28/1992,08/04/2000,"(34.1603, -118.5064)"
0000017099-0002-8,QUAZI MOSHOORUL HUDA,,3612 SENECA AVENUE,LOS ANGELES,90039-1821,3612 SENECA 90039-1821,,,,,,13,04/01/2005,12/31/2005,
0000017116-0001-5,YOLANDA JIZ ALCARDE,,7217 GEYSER AVENUE,RESEDA,91335-2754,7217 GEYSER 91335-2754,,,,,,3,06/22/1992,12/01/2005,
0000017147-0001-1,TAFURA HUGO ALBERTO,,6070 E OLYMPIC BLVD,LOS ANGELES,90022-,6070 OLYMPIC 90022,,,,,,0,02/01/2000,12/31/2000,
0000017162-0001-5,GREGG A GARFIELD,,12915 BLOOMFIELD STREET #1,STUDIO CITY,91604-,12915 BLOOMFIELD 91604,,,,,,0,06/29/1992,12/31/1995,
0000017166-0001-3,CHRISTOPHER KIM,,805 S INDIANA STREET,LOS ANGELES,90023-,805 INDIANA 90023,,,,,,14,01/01/2000,07/06/2000,
0000017243-0001-1,THOMAS N TRUONG/DAVID PHAM,,18645 SHERMAN WAY #205,RESEDA,91335-8618,18645 SHERMAN 91335-8618,,,,,,3,07/04/1992,12/31/2012,
0000017279-0001-9,HANDADUL SUSHI CORP,,8510 W 3RD STREET,LOS ANGELES,90048-4114,8510 3RD 90048-4114,,,,,,5,09/15/2003,12/31/2016,
0000017302-0001-0,MOSHE BAGAY,,234 TOWER DRIVE,BEVERLY HILLS,90211-,234 TOWER 90211,,,,,,0,02/01/2000,12/31/2000,
0000017310-0001-4,U S MOBILE WIRELESS COMMUNICATIONS INC,,1801 W BURBANK BLVD,BURBANK,91506-1314,1801 BURBANK 91506-1314,,,,,,0,11/11/1998,01/01/2017,
0000017336-0001-9,BRETT S WILLIAMS,,2116 BEVERLY BLVD,LOS ANGELES,90057-,2116 BEVERLY 90057,,,,,,13,02/01/2000,12/31/2001,
0000017341-0001-0,SUNG JIN OH,,559 ALANDELE AVENUE,LOS ANGELES,90036-3250,559 ALANDELE 90036-3250,,,,,,4,07/01/2003,05/01/2007,
0000017382-0001-9,GEARY HAYNES,,5619 FAUST AVENUE,WOODLAND HLS,91367-,5619 FAUST 91367,,,,,,0,06/01/1992,12/31/2003,
0000017515-0001-3,ROBERT BELL,,124 N ORLANDO AVENUE,LOS ANGELES,90048-3444,124 ORLANDO 90048-3444,,,,,,5,06/01/2003,12/31/2006,
0000017519-0001-1,JESUS RAMOS BARAJAS,,11943 VENTURA BLVD,STUDIO CITY,91604-,11943 VENTURA 91604,,,,,,0,12/01/1999,12/31/2003,
0000017526-0001-1,JOO YEOL OH,,201 N WESTERN AVENUE,LOS ANGELES,90004-,201 WESTERN 90004,,,,,,0,02/02/2000,04/18/2001,
0000017541-0001-6,BOATLAND INC,,116 N HALE AVENUE,ESCONDIDO,92029-,116 HALE 92029,,,,,,0,02/12/2000,12/31/2000,
0000017550-0001-5,TRACY D TUTSON,,16027 VENTURA BLVD #600,ENCINO,91436-,16027 VENTURA 91436,,,,,,0,06/01/1992,12/31/1997,
0000017568-0001-5,YUK NAM JANG,,9546 ARDINE STREET,DOWNEY,90241-,9546 ARDINE 90241,,,,,,0,08/20/1997,12/31/1997,
0000017605-0001-8,JOSEPHINE HOA LE TRUONG KUNG,,838 N BROADWAY #B,LOS ANGELES,90012-,838 BROADWAY 90012,,,,,,0,07/01/1992,05/31/2002,
0000017645-0001-2,MORENA MORAN,,245 N ALVARADO STREET #117,LOS ANGELES,90026-6708,245 ALVARADO 90026-6708,,,,,,13,05/15/2003,01/01/2009,
0000017651-0001-8,AMERICAN STANDARDS TESTING LABORATORIES INC,,8246 PHLOX STREET,DOWNEY,90241-,8246 PHLOX 90241,,,,,,0,07/01/1970,08/21/2001,
0000017682-0001-3,MUNICIPAL UNDERGROUND INC,,3920 E CORONADO STREET #F,ANAHEIM,92807-,3920 CORONADO 92807,,,,,,0,06/08/1992,11/01/2004,
0000017691-0001-2,WON K LOK,,821 N SPRING STREET #157,LOS ANGELES,90012-5830,821 SPRING 90012-5830,,,,,,1,01/01/2000,01/01/2007,
0000017699-0001-9,MIGUEL C SALAS,,5100 RIVERTON AVENUE #3,N HOLLYWOOD,91601-3949,5100 RIVERTON 91601-3949,,,,,,2,01/01/2000,12/31/2003,
0000017717-0001-9,PHYSICAL THERAPY DYNAMICS INC,,1628 N EL CENTRO AVENUE,LOS ANGELES,90028-,1628 EL CENTRO 90028,,,,,,13,01/01/2000,04/30/2003,
0000017737-0001-6,FINEST FASHION INC,,1830 S FLOWER STREET,LOS ANGELES,90015-3424,1830 FLOWER 90015-3424,,,,,,9,05/01/2003,12/31/2008,
0000017784-0001-1,KERN DOOR CO INC,,7000 MCDIVITT DRIVE,BAKERSFIELD,93313-,7000 MCDIVITT 93313,,,,,,0,02/14/2000,11/01/2004,
0000017797-0001-8,WENDY ODEA,,2169 TIMOTHY DRIVE,WESTMINSTER,21157-,2169 TIMOTHY 21157,,,,,,0,01/01/2000,11/01/2004,
0000017814-0001-3,JAMES GRODIN,,541 N LARCHMONT BLVD,LOS ANGELES,90004-1305,541 LARCHMONT 90004-1305,,,,,,4,06/01/1974,01/19/2010,
0000017836-0001-0,SIMON POZIREKIDES,,18663 VENTURA BLVD #122,TARZANA,91356-4182,18663 VENTURA 91356-4182,,,,,,3,06/03/1992,03/16/2005,
0003233965-0001-2,LITTLE NEDDY INC.,,4353 COLFAX AVENUE UNIT #27,STUDIO CITY,91604-2875,4353 Colfax 91604-2875,,,,711510,"Independent artists, writers, & performers",4,11/10/2020,,"(34.149, -118.3884)"
0000017890-0004-9,YOLANDA E ACABAL,,1825 W PICO BLVD,LOS ANGELES,90006-5006,1825 PICO 90006-5006,,,,,,1,06/14/2007,12/31/2013,
0000017918-0001-0,KYONG HEE PARK,,955 S VERMONT AVENUE #G,LOS ANGELES,90006-,955 VERMONT 90006,,,,,,10,01/04/2000,12/31/2001,
0000017939-0001-1,JEFF RASUL,,7308 MELROSE AVENUE,LOS ANGELES,90046-7513,7308 MELROSE 90046-7513,,,,,,5,06/01/2003,12/31/2005,
0000017954-0001-6,PARKER MULCAHY & ASSOCIATES /C,,333 S GRAND AVENUE #1560,LOS ANGELES,90071-,333 GRAND 90071,,,,,,0,04/07/1992,07/31/2000,
0000017976-0001-2,TRINA L DUARTE,,1332 MAIN STREET,VENICE,90291-3716,1332 MAIN 90291-3716,,,,,,11,05/01/2003,01/01/2007,
0000017986-0001-6,MICHAEL PERSKY,,21348 DEVONSHIRE STREET,CHATSWORTH,91311-,21348 DEVONSHIRE 91311,,,,,,12,07/01/1992,06/01/1994,
0000018000-0001-3,ALAIN G ROGIER,,11355 W OLYMPIC BLVD SUITE #200,LOS ANGELES,90064-1631,11355 OLYMPIC 90064-1631,,,,,,11,09/01/1990,05/01/2012,
0000018046-0001-5,ISIDRO B MADAMBA JR,,5235 YORK BLVD,LOS ANGELES,90042-,5235 YORK 90042,,,,,,14,07/01/2003,02/28/2004,
0003246270-0001-4,KIMBERLY ESCOBAR,NAILSSBY_KIMM,616 N KINGSLEY DRIVE,LOS ANGELES,90004-1913,616 KINGSLEY 90004,616 1/2 N KINGSLEY DRIVE,LOS ANGELES,90004-1913,,,13,01/03/2021,,"(34.0822, -118.3029)"
0000018080-0001-2,TIN ROOF INC ET AL,,5757 WILSHIRE BLVD #440,LOS ANGELES,90036-,5757 WILSHIRE 90036,,,,,,0,08/11/1999,12/31/1999,
0000018101-0001-6,ELSA BEATRIZ FRANKLIN,,14905 SHERMAN WAY,VAN NUYS,91405-2114,14905 SHERMAN 91405-2114,,,,,,6,03/01/2000,12/31/2004,
0000018128-0001-5,HHJ LLC,,6100 MELROSE AVENUE,LOS ANGELES,90038-3502,6100 MELROSE 90038-3502,,,,,,4,03/06/2001,12/31/2009,
0000018133-0001-6,GARVEL W WIKE,,1940 N ALTADENA DRIVE,PASADENA,91107-,1940 ALTADENA 91107,,,,,,0,09/01/2000,08/31/2001,
0000018154-0001-8,ALEJANDRO ACU,,6164 RUBY PLACE,LOS ANGELES,90042-2147,6164 RUBY 90042,,,,,,14,01/01/1999,12/31/2004,
0000018161-0001-8,JACOBO MARTINEZ,,5012 S MAIN STREET,LOS ANGELES,90037-3223,5012 MAIN 90037-3223,,,,,,9,05/15/2003,12/31/2008,
0000018170-0001-7,INFINITY BROADCASTING CORP,,1750 HOWE AVENUE #500,SACRAMENTO,95825-,1750 HOWE 95825,,,,,,0,01/28/2000,09/28/2001,
0000018185-0001-3,CHAN W PARK,,535 S CURSON AVENUE #MK,LOS ANGELES,90036-5252,535 CURSON 90036-5252,,,,,,4,04/10/2000,12/31/2003,
0003231867-0001-9,GOODOS FOR DOGGOS LLC,,1482 E VALLEY ROAD,MONTECITO,93108-1200,1482 VALLEY 93108,1482 E VALLEY ROAD,MONTECITO,93108-1200,453910,Pet & pet supplies stores,0,03/01/2021,,"(34.4372, -119.633)"
0003245620-0001-1,ANLEU MAINTENANCE INC,UNITED ANGELS PROTECTION SERVICE,982 E 53RD STREET,LOS ANGELES,90011-4624,982 53rd 90011-4624,,,,561600,Investigation & security services,9,02/15/2021,,"(33.9941, -118.2583)"
0000018257-0001-0,DAN GOLD,,270 W 38TH STREET,NEW YORK,10018-,270 38TH 10018,,,,,,0,01/01/1992,10/21/1997,
0000018353-0001-0,MARTAKCO LLC,,522 N PLYMOUTH BLVD,LOS ANGELES,90004-1411,522 PLYMOUTH 90004-1411,,,,,,4,05/15/2003,12/31/2008,
0000018418-0001-6,ATILANO MUNOZ,,4868 COMPTON AVENUE,LOS ANGELES,90011-,4868 COMPTON 90011,,,,,,0,03/01/2000,12/31/2001,
0000018514-0001-6,MANUEL F HERNANDEZ,,4816 S VERMONT AVENUE,LOS ANGELES,90037-,4816 VERMONT 90037,,,,,,0,03/14/2000,12/31/2000,
0000018536-0001-2,RAG ZONE INC,,1225 S GRAND AVENUE,LOS ANGELES,90015-,1225 GRAND 90015,,,,,,0,01/01/2000,12/29/2003,
0000018548-0001-5,KRUTCHIK & COMPANY INC,,16255 VENTURA BLVD SUITE #706,ENCINO,91436-2311,16255 VENTURA 91436-2311,,,,,,5,01/01/1999,12/31/2008,
0000018553-0001-6,HYE LAN HUH,,8440 HERMOSA AVENUE APT #D,RANCHO CUCAMONGA,91730-3752,8440 HERMOSA 91730-3752,,,,,,0,06/03/2003,12/31/2007,
0000018614-0001-4,GEORGE A PEREZ,,1736 ALBION STREET,LOS ANGELES,90031-,1736 ALBION 90031,,,,,,0,10/23/1985,12/31/1998,
0000018626-0001-7,SELECT SOURCE BUILDING PRODUCTS INC,,465 CORPORATE DRIVE,ESCONDIDO,92029-1507,465 CORPORATE 92029,,,,,,0,04/15/2000,11/12/2009,
0000018667-0001-6,YOUNG CHUL SHIN,,2727 W OLYMPIC BLVD UNIT #112,LOS ANGELES,90006-2641,2727 OLYMPIC 90006-2641,,,,,,10,09/01/2006,05/30/2008,
0000018676-0001-5,JI SEOK OH,,7355 LANKERSHIM BLVD #009,N HOLLYWOOD,91605-,7355 LANKERSHIM 91605,,,,,,0,02/01/2000,12/31/2001,
0000018704-0001-9,RELIABLE POWER METERS INC,,400 BLOSSOM HILL ROAD,LOS GATOS,95032-,400 BLOSSOM HILL 95032,,,,,,0,05/28/1997,09/28/2001,
0000018755-0001-1,ROGELIO/MARIA MEJIA,,2304 E 1ST STREET,LOS ANGELES,90033-,2304 1ST 90033,,,,,,14,03/08/2000,06/01/2000,
0000018806-0001-6,KENNETH F GALBRAITH,,5970 S MAIN STREET,LOS ANGELES,90003-,5970 MAIN 90003,,,,,,0,03/11/2000,05/31/2001,
0003226489-0001-2,K & N TOBACCO SHOP INC,,12816 VICTORY BLVD,NORTH HOLLYWOOD,91606-3013,12816 VICTORY 91606-3013,,,,424940,Tobacco & tobacco products,2,01/01/2021,,"(34.1863, -118.4123)"
0000018813-0001-6,ROBERT WERNICKE,,1535 RUHLAND AVENUE,MANHATTAN BCH,90266-,1535 RUHLAND 90266,,,,,,0,11/01/1972,11/01/2004,
0000018831-0001-4,JAVIER TORRES MD INC,,18433 ROSCOE BLVD #102,NORTHRIDGE,91325-4125,18433 ROSCOE 91325-4125,,,,,,12,01/26/2000,12/31/2009,
0000018838-0001-6,DUANE H SHIELDS,,523 W 6TH STREET #81,LOS ANGELES,90014-,523 6TH 90014,,,,,,0,03/01/1975,12/24/2000,
0000018853-0001-1,GHOLAM REZA SARRAF,,7251 VARNA AVENUE,NORTH HOLLYWOOD,91605-4103,7251 VARNA 91605-4103,,,,,,2,01/09/2003,12/31/2017,
0000019032-0001-1,BUILDERS CONTROL SERVICE COMPANY,,7447 N FIGUEROA STREET SUITE ##305,LOS ANGELES,90041-1721,7447 FIGUEROA 90041-1721,,,,,,14,08/02/1987,03/15/2014,
0000019046-0001-2,EUGENE VAUDRY,,7637 LUXOR STREET,DOWNEY,90241-4617,7637 LUXOR 90241,,,,,,0,03/01/1975,11/01/2004,
0000019051-0001-3,JOHN H HADLEY JR,,569 WILCOX AVENUE,LOS ANGELES,90004-1110,569 WILCOX 90004-1110,,,,,,4,06/15/2003,12/31/2007,
0000019059-0001-0,VASILE MURESAN,,2890 STATE STREET,CORONA,92881-4118,2890 STATE 92881-4118,,,,,,0,06/26/2003,11/01/2004,
0003203347-0001-6,ONEWAY OUTRECH INC,,10949 S HOBART BLVD,LOS ANGELES,90047-4625,10949 HOBART 90047-4625,10949 S HOBART BLVD,LOS ANGELES,90047-4625,624200,"Community food & housing, & emergency & other relief services",0,07/16/2020,,
0003252909-0001-4,SHANE SEYMORE,ICEY APPAREL,1711 W 57TH STREET,LOS ANGELES,90062-2734,1711 57TH 90062,1711 W 57TH STREET,LOS ANGELES,90062-2734,,,8,05/07/2021,,"(33.9908, -118.3073)"
0000019120-0001-6,JOHN LO,,1515 MAPLE AVENUE SUITE #12,LOS ANGELES,90015-3100,1515 MAPLE 90015-3100,,,,,,9,03/01/2003,12/31/2011,
0000019142-0001-2,YERTON PLUMBING INC,,501 W GLENOAKS BLVD #717,GLENDALE,91202-,501 GLENOAKS 91202,,,,,,0,05/01/1974,11/01/2004,
0000019147-0001-5,TERESA G CASTRO,,3915 N FIGUEROA STREET,LOS ANGELES,90065-3007,3915 FIGUEROA 90065-3007,,,,,,1,04/14/2005,12/31/2020,
0000019151-0001-1,6259 INC,THE CANDY CANYON,6259 TOPANGA CANYON BLVD,WOODLAND HILLS,91367-2213,6259 TOPANGA CANYON 91367-2213,,,,,,3,04/01/1975,04/30/2005,
0000019178-0001-1,WILLIAM KIPPER,,24510 PAT PLACE,WOODLAND HILLS,91367-1065,24510 PAT 91367-1065,,,,,,3,01/01/2003,09/06/2004,
0000019184-0001-6,BBK PREMIER INC,,20750 VENTURA BLVD #240,WOODLAND HILLS,91364-6235,20750 VENTURA 91364-6235,,,,,,3,01/01/1999,12/31/2010,
0000019215-0002-1,JOHN E & BERTHELMA SMITH,,3820 S REDONDO BLVD,LOS ANGELES,90008-1113,3820 REDONDO 90008-1113,,,,,,8,01/01/1992,05/28/2018,
0000019228-0001-1,MICHAEL HERNANDEZ,,726 CAMBERT STREET,LA VERNE,91750-4128,726 CAMBERT 91750-4128,,,,,,0,11/17/2005,12/31/2005,
